"","SampleID","Tissue","Condition","Replicate","bamReads","ControlID","bamControl","Peaks","PeakCaller","Treatment"
"1","D3-H3K9me3-rep1","HeLa","D3",1,"../../TASOR_CutAndRun/18Feb/human_F1_sort.bam","IgG-rep1","../../TASOR_CutAndRun/18Feb/human_F5_sort.bam","data/Peaks-seacr-filter/D3-H3K9me3-rep1.stringent.1000long.bed","bed","ctrl"
"2","D3-H3K9me3-rep2","HeLa","D3",2,"../../TASOR_CutAndRun/21May/human_a1_sort.bam","IgG-rep2","../../TASOR_CutAndRun/21May/human_f7_sort.bam","data/Peaks-seacr-filter/D3-H3K9me3-rep2.stringent.1000long.bed","bed","ctrl"
"3","TKO-H3K9me3-rep1","HeLa","TKO",1,"../../TASOR_CutAndRun/18Feb/human_F2_sort.bam","IgG-rep1","../../TASOR_CutAndRun/18Feb/human_F5_sort.bam","data/Peaks-seacr-filter/TKO-H3K9me3-rep1.stringent.1000long.bed","bed","exp"
"4","TKO-H3K9me3-rep2","HeLa","TKO",2,"../../TASOR_CutAndRun/21May/human_a2_sort.bam","IgG-rep2","../../TASOR_CutAndRun/21May/human_f7_sort.bam","data/Peaks-seacr-filter/TKO-H3K9me3-rep2.stringent.1000long.bed","bed","exp"
"5","WTT-H3K9me3-rep1","HeLa","WTT",1,"../../TASOR_CutAndRun/18Feb/human_F3_sort.bam","IgG-rep1","../../TASOR_CutAndRun/18Feb/human_F5_sort.bam","data/Peaks-seacr-filter/WTT-H3K9me3-rep1.stringent.1000long.bed","bed","ctrl"
"6","WTT-H3K9me3-rep2","HeLa","WTT",2,"../../TASOR_CutAndRun/21May/human_a3_sort.bam","IgG-rep2","../../TASOR_CutAndRun/21May/human_f7_sort.bam","data/Peaks-seacr-filter/WTT-H3K9me3-rep2.stringent.1000long.bed","bed","ctrl"
"7","mutT-H3K9me3-rep1","HeLa","mutT",1,"../../TASOR_CutAndRun/18Feb/human_F4_sort.bam","IgG-rep1","../../TASOR_CutAndRun/18Feb/human_F5_sort.bam","data/Peaks-seacr-filter/mutT-H3K9me3-rep1.stringent.1000long.bed","bed","exp"
"8","mutT-H3K9me3-rep2","HeLa","mutT",2,"../../TASOR_CutAndRun/21May/human_a4_sort.bam","IgG-rep2","../../TASOR_CutAndRun/21May/human_f7_sort.bam","data/Peaks-seacr-filter/mutT-H3K9me3-rep2.stringent.1000long.bed","bed","exp"
"9","D3-H3K9me3-rep3","HeLa","D3",3,"../../TASOR_CutAndRun/18Feb/human_A3_sort.bam","IgG-D3-rep3","../../TASOR_CutAndRun/18Feb/human_A1_sort.bam","data/Peaks-seacr-filter/D3-H3K9me3-rep3.stringent.1000long.bed","bed","ctrl"
"10","D3-H3K9me3-rep4","HeLa","D3",4,"../../TASOR_CutAndRun/18Feb/human_E1_sort.bam","IgG-TKOrep3","../../TASOR_CutAndRun/18Feb/human_A1_sort.bam","data/Peaks-seacr-filter/D3-H3K9me3-rep4.stringent.1000long.bed","bed","ctrl"
"11","TKO-H3K9me3-rep3","HeLa","TKO",3,"../../TASOR_CutAndRun/18Feb/human_B3_sort.bam","IgG-D3-rep3","../../TASOR_CutAndRun/18Feb/human_B1_sort.bam","data/Peaks-seacr-filter/TKO-H3K9me3-rep3.stringent.1000long.bed","bed","exp"
"12","TKO-H3K9me3-rep4","HeLa","TKO",4,"../../TASOR_CutAndRun/18Feb/human_E2_sort.bam","IgG-TKOrep3","../../TASOR_CutAndRun/18Feb/human_B1_sort.bam","data/Peaks-seacr-filter/TKO-H3K9me3-rep4.stringent.1000long.bed","bed","exp"
