SampleID,Tissue,Condition,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
D3-H3K9me3-rep1,HeLa,D3,1,../../TASOR_CutAndRun/18Feb/human_F1_sort.bam,IgG-rep1,../../TASOR_CutAndRun/18Feb/human_F5_sort.bam,data/Peaks-seacr/D3-H3K9me3-rep1.stringent.1000long.bed,bed
D3-H3K9me3-rep2,HeLa,D3,2,../../TASOR_CutAndRun/21May/human_a1_sort.bam,IgG-rep2,../../TASOR_CutAndRun/21May/human_f7_sort.bam,data/Peaks-seacr/D3-H3K9me3-rep2.stringent.1000long.bed,bed
TKO-H3K9me3-rep1,HeLa,TKO,1,../../TASOR_CutAndRun/18Feb/human_F2_sort.bam,IgG-rep1,../../TASOR_CutAndRun/18Feb/human_F5_sort.bam,data/Peaks-seacr/TKO-H3K9me3-rep1.stringent.1000long.bed,bed
TKO-H3K9me3-rep2,HeLa,TKO,2,../../TASOR_CutAndRun/21May/human_a2_sort.bam,IgG-rep2,../../TASOR_CutAndRun/21May/human_f7_sort.bam,data/Peaks-seacr/TKO-H3K9me3-rep2.stringent.1000long.bed,bed
WTT-H3K9me3-rep1,HeLa,WTT,1,../../TASOR_CutAndRun/18Feb/human_F3_sort.bam,IgG-rep1,../../TASOR_CutAndRun/18Feb/human_F5_sort.bam,data/Peaks-seacr/WTT-H3K9me3-rep1.stringent.1000long.bed,bed
WTT-H3K9me3-rep2,HeLa,WTT,2,../../TASOR_CutAndRun/21May/human_a3_sort.bam,IgG-rep2,../../TASOR_CutAndRun/21May/human_f7_sort.bam,data/Peaks-seacr/WTT-H3K9me3-rep2.stringent.1000long.bed,bed
mutT-H3K9me3-rep1,HeLa,mutT,1,../../TASOR_CutAndRun/18Feb/human_F4_sort.bam,IgG-rep1,../../TASOR_CutAndRun/18Feb/human_F5_sort.bam,data/Peaks-seacr/mutT-H3K9me3-rep1.stringent.1000long.bed,bed
mutT-H3K9me3-rep2,HeLa,mutT,2,../../TASOR_CutAndRun/21May/human_a4_sort.bam,IgG-rep2,../../TASOR_CutAndRun/21May/human_f7_sort.bam,data/Peaks-seacr/mutT-H3K9me3-rep2.stringent.1000long.bed,bed
D3-H3K9me3-rep3,HeLa,D3,3,../../TASOR_CutAndRun/18Feb/human_A3_sort.bam,IgG-D3-rep3,../../TASOR_CutAndRun/18Feb/human_A1_sort.bam,data/Peaks-seacr/D3-H3K9me3-rep3.stringent.1000long.bed,bed
D3-H3K9me3-rep4,HeLa,D3,4,../../TASOR_CutAndRun/18Feb/human_E1_sort.bam,IgG-TKOrep3,../../TASOR_CutAndRun/18Feb/human_A1_sort.bam,data/Peaks-seacr/D3-H3K9me3-rep4.stringent.1000long.bed,bed
TKO-H3K9me3-rep3,HeLa,TKO,3,../../TASOR_CutAndRun/18Feb/human_B3_sort.bam,IgG-D3-rep3,../../TASOR_CutAndRun/18Feb/human_B1_sort.bam,data/Peaks-seacr/TKO-H3K9me3-rep3.stringent.1000long.bed,bed
TKO-H3K9me3-rep4,HeLa,TKO,4,../../TASOR_CutAndRun/18Feb/human_E2_sort.bam,IgG-TKOrep3,../../TASOR_CutAndRun/18Feb/human_B1_sort.bam,data/Peaks-seacr/TKO-H3K9me3-rep4.stringent.1000long.bed,bed
